close,conversionSymbol,conversionType,high,low,open,time (unix epoch),volumefrom,volumeto,ingestion_date (unix epoch)
0.06265,"",direct,0.0633,0.0623,0.0621,1285027200,5735.95,359.82,1680537367
0.0622,"",direct,0.0624,0.06147,0.06265,1285113600,11560.4,717.33,1680537367
0.06231,"",direct,0.063,0.0615,0.0622,1285200000,15505.33,970.09,1680537367
0.0622,"",direct,0.0624,0.06209,0.06231,1285286400,684.38,42.66,1680537367
0.06202,"",direct,0.0624,0.0617,0.0622,1285372800,2152.5,133.05,1680537367
0.062,"",direct,0.06228,0.06186,0.06202,1285459200,12058.13,748.2,1680537367
0.0622,"",direct,0.06228,0.0619,0.062,1285545600,10752.25,668.53,1680537367
0.0619,"",direct,0.06271,0.0617,0.0622,1285632000,7086.15,439.05,1680537367
0.06191,"",direct,0.062,0.0615,0.0619,1285718400,23475.64,1450.79,1680537367
0.0619,"",direct,0.0619,0.06155,0.06191,1285804800,7917.03,488.15,1680537367
0.06197,"",direct,0.062,0.06189,0.0619,1285891200,1717.45,106.46,1680537367
0.0614,"",direct,0.06191,0.06125,0.06197,1285977600,13059.74,802.52,1680537367
0.06111,"",direct,0.0614,0.061,0.0614,1286064000,7172.63,439.88,1680537367
0.0613,"",direct,0.062,0.06081,0.06111,1286150400,33995.37,2079.89,1680537367
0.0614,"",direct,0.06301,0.0609,0.0613,1286236800,27526.61,1699.2,1680537367
0.06281,"",direct,0.0635,0.0612,0.0614,1286323200,33433.3,2091.28,1680537367
0.067,"",direct,0.067,0.0628,0.06281,1286409600,43692.98,2812.79,1680537367
0.08685,"",direct,0.088,0.01,0.067,1286496000,139287.29,10784.23,1680537367
0.0938,"",direct,0.12,0.068,0.08685,1286582400,187846.95,16104.87,1680537367
0.0965,"",direct,0.1301,0.07999,0.0938,1286668800,50684.19,4889.35,1680537367
0.095,"",direct,0.103,0.091,0.0965,1286755200,14092.91,1395.23,1680537367
0.0949,"",direct,0.099,0.082,0.095,1286841600,25660.75,2396.82,1680537367
0.105,"",direct,0.105,0.092,0.0949,1286928000,47557.27,4558.52,1680537367
0.102,"",direct,0.1045,0.065,0.105,1287014400,37217.28,3701.65,1680537367
0.105,"",direct,0.119,0.092,0.102,1287100800,24643.33,2554.91,1680537367
0.101,"",direct,0.103,0.1,0.105,1287187200,6284.71,633.63,1680537367
0.102,"",direct,0.1045,0.1,0.101,1287273600,18222.19,1857.8,1680537367
0.1024,"",direct,0.103,0.097,0.102,1287360000,25665.09,2591.64,1680537367
0.097,"",direct,0.1019,0.097,0.1024,1287446400,6235.1,623.34,1680537367
0.099,"",direct,0.103,0.094,0.097,1287532800,31855.0,3221.08,1680537367
0.107,"",direct,0.109,0.097,0.099,1287619200,44867.0,4616.85,1680537367
0.1025,"",direct,0.109,0.1015,0.107,1287705600,34603.91,3665.43,1680537367
0.1055,"",direct,0.109,0.1045,0.1025,1287792000,4423.47,481.52,1680537367
0.115,"",direct,0.19,0.108,0.1055,1287878400,13800.23,1560.61,1680537367
0.132,"",direct,0.19,0.09009,0.115,1287964800,30299.64,4450.0,1680537367
0.1503,"",direct,0.18,0.133,0.132,1288051200,19219.13,2995.09,1680537367
0.1877,"",direct,0.19,0.151,0.1503,1288137600,65605.87,11594.02,1680537367
0.1731,"",direct,0.191,0.1731,0.1877,1288224000,21525.04,4009.67,1680537367
0.19,"",direct,0.19,0.173,0.1731,1288310400,28686.85,5380.49,1680537367
0.1989,"",direct,0.199,0.1875,0.19,1288396800,26708.94,5112.03,1680537367
0.1925,"",direct,0.1989,0.171,0.1989,1288483200,40337.76,7829.46,1680537367
0.1955,"",direct,0.1955,0.172,0.1925,1288569600,21258.61,4049.75,1680537367
0.1938,"",direct,0.195,0.1905,0.1955,1288656000,5853.39,1121.34,1680537367
0.1931,"",direct,0.275,0.125,0.1938,1288742400,61472.63,11769.61,1680537367
0.23,"",direct,0.236,0.1934,0.1931,1288828800,29698.43,6229.16,1680537367
0.26,"",direct,0.2639,0.2101,0.23,1288915200,36622.07,8757.15,1680537367
0.39,"",direct,0.5,0.2402,0.26,1289001600,32756.13,9396.96,1680537367
0.34,"",direct,0.47,0.286,0.39,1289088000,77218.72,27937.74,1680537367
0.243,"",direct,0.37,0.2261,0.34,1289174400,118203.83,38339.26,1680537367
0.21,"",direct,0.323,0.199,0.243,1289260800,47983.39,12808.3,1680537367
0.24,"",direct,0.24,0.14,0.21,1289347200,30387.03,6110.13,1680537367
0.2231,"",direct,0.24,0.21,0.24,1289433600,5031.88,1111.55,1680537367
0.2682,"",direct,0.29,0.223,0.2231,1289520000,40720.39,10494.46,1680537367
0.276,"",direct,0.3,0.2683,0.2682,1289606400,21915.57,6351.58,1680537367
0.279,"",direct,0.299,0.2702,0.276,1289692800,16844.33,4793.81,1680537367
0.2682,"",direct,0.2828,0.2682,0.279,1289779200,8507.74,2337.5,1680537367
0.223,"",direct,0.275,0.223,0.2682,1289865600,33931.01,8609.67,1680537367
0.2299,"",direct,0.29,0.2116,0.223,1289952000,32871.6,8662.61,1680537367
0.2678,"",direct,0.283,0.2221,0.2299,1290038400,37446.67,10253.27,1680537367
0.28,"",direct,0.28,0.2682,0.2678,1290124800,2157.56,583.45,1680537367
0.283,"",direct,0.29,0.2682,0.28,1290211200,14652.69,4119.07,1680537367
0.2767,"",direct,0.282,0.2763,0.283,1290297600,765.0,212.67,1680537367
0.2879,"",direct,0.2879,0.269,0.2767,1290384000,28205.85,7818.64,1680537367
0.2829,"",direct,0.2845,0.276,0.2879,1290470400,4856.92,1361.82,1680537367
0.283,"",direct,0.283,0.2761,0.2829,1290556800,2514.91,710.24,1680537367
0.28,"",direct,0.2825,0.278,0.283,1290643200,1679.6,469.99,1680537367
0.2844,"",direct,0.289,0.2761,0.28,1290729600,33531.88,9510.98,1680537367
0.283,"",direct,0.2844,0.2826,0.2844,1290816000,1825.39,515.9,1680537367
0.27,"",direct,0.2846,0.27,0.283,1290902400,20802.13,5746.3,1680537367
0.2299,"",direct,0.279,0.2151,0.27,1290988800,35055.4,8802.06,1680537367
0.2082,"",direct,0.2299,0.204,0.2299,1291075200,21476.25,4570.58,1680537367
0.2275,"",direct,0.2299,0.2095,0.2082,1291161600,8157.89,1752.72,1680537367
0.255,"",direct,0.2553,0.218,0.2275,1291248000,20312.23,4800.55,1680537367
0.251,"",direct,0.2552,0.243,0.255,1291334400,2570.34,633.78,1680537367
0.205,"",direct,0.2589,0.205,0.251,1291420800,28560.72,6673.4,1680537367
0.19,"",direct,0.235,0.19,0.205,1291507200,5740.18,1178.03,1680537367
0.204,"",direct,0.225,0.1841,0.19,1291593600,4319.26,863.02,1680537367
0.233,"",direct,0.2477,0.1701,0.204,1291680000,24592.92,5411.8,1680537367
0.2388,"",direct,0.24,0.22,0.233,1291766400,3430.41,789.86,1680537367
0.2,"",direct,0.233,0.1701,0.2388,1291852800,21336.33,4411.94,1680537367
0.204,"",direct,0.204,0.1825,0.2,1291939200,1684.25,328.17,1680537367
0.228,"",direct,0.228,0.1907,0.204,1292025600,5788.69,1267.2,1680537367
0.22,"",direct,0.2279,0.2068,0.228,1292112000,1963.56,418.8,1680537367
0.2299,"",direct,0.23,0.21,0.22,1292198400,6415.59,1425.92,1680537367
0.2467,"",direct,0.2468,0.21,0.2299,1292284800,10388.1,2403.83,1680537367
0.238,"",direct,0.246,0.238,0.2467,1292371200,3684.68,901.15,1680537367
0.25,"",direct,0.255,0.2222,0.238,1292457600,14355.33,3522.62,1680537367
0.24,"",direct,0.249,0.24,0.25,1292544000,525.51,130.19,1680537367
0.241,"",direct,0.2488,0.241,0.24,1292630400,169.11,41.67,1680537367
0.2401,"",direct,0.2499,0.24,0.241,1292716800,2000.76,487.49,1680537367
