time,open,close,high,low,volumefrom,volumeto
1290038400,0.2299,0.2678,0.283,0.2221,37446.67,10253.27
1290124800,0.2678,0.28,0.28,0.2682,2157.56,583.45
1290211200,0.28,0.283,0.29,0.2682,14652.69,4119.07
1290297600,0.283,0.2767,0.282,0.2763,765.0,212.67
1290384000,0.2767,0.2879,0.2879,0.269,28205.85,7818.64
1290470400,0.2879,0.2829,0.2845,0.276,4856.92,1361.82
1290556800,0.2829,0.283,0.283,0.2761,2514.91,710.24
1290643200,0.283,0.28,0.2825,0.278,1679.6,469.99
1290729600,0.28,0.2844,0.289,0.2761,33531.88,9510.98
1290816000,0.2844,0.283,0.2844,0.2826,1825.39,515.9
1290902400,0.283,0.27,0.2846,0.27,20802.13,5746.3
1290988800,0.27,0.2299,0.279,0.2151,35055.4,8802.06
1291075200,0.2299,0.2082,0.2299,0.204,21476.25,4570.58
1291161600,0.2082,0.2275,0.2299,0.2095,8157.89,1752.72
1291248000,0.2275,0.255,0.2553,0.218,20312.23,4800.55
1291334400,0.255,0.251,0.2552,0.243,2570.34,633.78
1291420800,0.251,0.205,0.2589,0.205,28560.72,6673.4
1291507200,0.205,0.19,0.235,0.19,5740.18,1178.03
1291593600,0.19,0.204,0.225,0.1841,4319.26,863.02
1291680000,0.204,0.233,0.2477,0.1701,24592.92,5411.8
1291766400,0.233,0.2388,0.24,0.22,3430.41,789.86
1291852800,0.2388,0.2,0.233,0.1701,21336.33,4411.94
1291939200,0.2,0.204,0.204,0.1825,1684.25,328.17
1292025600,0.204,0.228,0.228,0.1907,5788.69,1267.2
1292112000,0.228,0.22,0.2279,0.2068,1963.56,418.8
1292198400,0.22,0.2299,0.23,0.21,6415.59,1425.92
1292284800,0.2299,0.2467,0.2468,0.21,10388.1,2403.83
1292371200,0.2467,0.238,0.246,0.238,3684.68,901.15
1292457600,0.238,0.25,0.255,0.2222,14355.33,3522.62
1292544000,0.25,0.24,0.249,0.24,525.51,130.19
1292630400,0.24,0.241,0.2488,0.241,169.11,41.67
1292716800,0.241,0.2401,0.2499,0.24,2000.76,487.49
1292803200,0.2401,0.267,0.275,0.24,10682.71,2769.88
1292889600,0.267,0.24,0.267,0.24,9225.79,2291.81
1292976000,0.24,0.25,0.25,0.244,3800.46,949.38
1293062400,0.25,0.25,0.25,0.241,8650.15,2160.74
1293148800,0.25,0.248,0.25,0.242,5033.25,1252.05
1293235200,0.248,0.2499,0.25,0.2475,703.0,175.44
1293321600,0.2499,0.265,0.27,0.2464,16584.97,4203.03
1293408000,0.265,0.265,0.27,0.251,4935.49,1270.15
1293494400,0.265,0.281,0.281,0.2612,15438.71,4238.98
1293580800,0.281,0.3,0.301,0.271,18609.14,5363.75
1293667200,0.3,0.3,0.3,0.291,2539.87,759.92
1293753600,0.3,0.3,0.3,0.292,1453.72,428.44
1293840000,0.3,0.3,0.3,0.292,2821.24,841.95
1293926400,0.3,0.3,0.3,0.289,5352.11,1584.66
1294012800,0.3,0.295,0.2999,0.29,1425.19,420.85
1294099200,0.295,0.2989,0.2999,0.289,1879.0,548.33
1294185600,0.2989,0.299,0.299,0.29,357.16,106.19
1294272000,0.299,0.298,0.299,0.29,3456.49,1031.28
1294358400,0.298,0.32,0.322,0.2975,42601.12,13152.15
1294444800,0.32,0.3229,0.3229,0.309,1629.44,512.04
1294531200,0.3229,0.323,0.323,0.3229,1691.37,546.18
1294617600,0.323,0.3266,0.329,0.3175,10355.83,3360.65
1294704000,0.3266,0.3266,0.3266,0.3176,4857.8,1578.66
1294790400,0.3266,0.3188,0.3557,0.318,31359.77,10508.17
1294876800,0.3188,0.3176,0.405,0.3176,20118.9,7147.03
1294963200,0.3176,0.4,0.45,0.3176,27130.96,10691.11
1295049600,0.4,0.386,0.4,0.385,1515.66,591.15
1295136000,0.386,0.3868,0.4,0.386,2778.71,1085.16
1295222400,0.3868,0.3495,0.3868,0.315,18241.15,6360.69
1295308800,0.3495,0.313,0.3495,0.305,15671.51,4950.51
1295395200,0.313,0.313,0.313,0.305,7291.63,2247.62
1295481600,0.313,0.39,0.39,0.31,19881.98,6900.05
1295568000,0.39,0.4199,0.44,0.368,8477.55,3351.62
1295654400,0.4199,0.4443,0.4443,0.39,10534.27,4513.91
1295740800,0.4443,0.4424,0.4443,0.42,1148.4,505.83
1295827200,0.4424,0.4199,0.4424,0.381,11061.94,4516.68
1295913600,0.4199,0.41,0.425,0.4,2163.72,901.25
1296000000,0.41,0.417,0.42,0.3904,15564.81,6315.95
1296086400,0.417,0.4212,0.45,0.4085,27708.2,12086.9
1296172800,0.4212,0.446,0.446,0.4212,5324.5,2301.77
1296259200,0.446,0.439,0.445,0.43,1448.38,643.63
1296345600,0.439,0.4799,0.48,0.445,10383.59,4775.81
1296432000,0.4799,0.52,0.95,0.47,63516.08,32708.4
1296518400,0.52,0.7,0.85,0.5201,31562.12,23264.18
1296604800,0.7,0.716,0.76,0.69,5627.48,4126.02
1296691200,0.716,0.69,0.75,0.6501,8524.5,6064.12
1296777600,0.69,0.811,0.88,0.67,42222.19,33965.74
1296864000,0.811,0.92,0.92,0.8115,15786.81,13634.2
1296950400,0.92,0.8997,0.92,0.83,8744.11,7608.77
1297036800,0.8997,0.89,0.9,0.83,2264.28,1949.54
1297123200,0.89,0.918,0.918,0.8617,7021.29,6306.77
1297209600,0.918,1.09,1.09,0.82,49632.5,47455.01
1297296000,1.09,0.9803,1.1,0.8,26559.64,25568.81
1297382400,0.9803,1.07,1.09,0.9264,13299.18,13213.54
1297468800,1.07,1.08,1.08,0.9906,4118.92,4353.79
1297555200,1.08,1.05,1.08,1.02,3240.64,3398.3
1297641600,1.05,1.07,1.08,1.033,7096.55,7532.41
1297728000,1.07,1.05,1.085,1.035,8616.58,9085.5
1297814400,1.05,1.045,1.05,1.02,7192.38,7465.03
1297900800,1.045,1.04,1.05,1.02,4009.84,4184.96
1297987200,1.04,0.8989,1.04,0.7801,36948.16,32719.75
1298073600,0.8989,0.949,0.98,0.8376,3798.71,3454.72
1298160000,0.949,0.85,0.949,0.83,9974.05,8503.38
1298246400,0.85,0.8345,0.8796,0.8313,1700.12,1435.86
1298332800,0.8345,0.8702,0.95,0.8313,12095.26,10650.29
1298419200,0.8702,0.9,0.945,0.8681,6718.87,6057.77
1298505600,0.9,0.9974,1.0,0.9,13418.69,12708.12
1298592000,0.9974,0.9111,0.9998,0.9111,4461.06,4276.3
1298678400,0.9111,0.958,0.97,0.9106,4744.41,4452.63
1298764800,0.958,0.89,0.958,0.89,23268.75,21576.82
1298851200,0.89,0.86,0.92,0.845,4651.67,4108.6
1298937600,0.86,0.9202,0.97,0.8502,22569.78,21413.43
1299024000,0.9202,0.9399,0.94,0.9102,2741.87,2533.96
1299110400,0.9399,0.9391,0.9399,0.91,2746.67,2520.58
1299196800,0.9391,0.901,0.9391,0.9001,2711.89,2469.56
1299283200,0.901,0.9103,0.9189,0.8111,12570.59,11115.04
1299369600,0.9103,0.8999,0.9098,0.81,12626.49,10775.11
1299456000,0.8999,0.885,0.909,0.846,15271.27,13527.3
1299542400,0.885,0.87,0.885,0.85,4527.85,3931.42
1299628800,0.87,0.8645,0.87,0.85,4546.05,3881.22
1299715200,0.8645,0.9329,0.9329,0.8497,8869.01,7895.07
1299801600,0.9329,0.88,0.925,0.8601,3725.51,3301.73
1299888000,0.88,0.918,0.9197,0.88,4822.83,4319.6
1299974400,0.918,0.8925,0.918,0.8898,660.31,595.42
1300060800,0.8925,0.8949,0.9,0.88,5269.24,4676.62
1300147200,0.8949,0.87,0.8949,0.87,2732.16,2405.41
1300233600,0.87,0.86,0.88,0.836,7929.62,6761.32
1300320000,0.86,0.8254,0.88,0.81,7159.78,6042.77
1300406400,0.8254,0.8165,0.8506,0.71,14226.22,10971.32
1300492800,0.8165,0.765,0.797,0.7313,9875.04,7457.83
1300579200,0.765,0.7411,0.79,0.7402,5815.32,4502.62
1300665600,0.7411,0.759,0.7724,0.7405,3695.96,2780.45
1300752000,0.759,0.809,0.81,0.7405,12147.72,9499.24
1300838400,0.809,0.8497,0.85,0.78,13262.26,11029.25
1300924800,0.8497,0.8669,0.9,0.8266,14009.37,12259.77
1301011200,0.8669,0.8838,0.89,0.861,4819.42,4225.53
1301097600,0.8838,0.8552,0.905,0.841,11756.42,10250.98
1301184000,0.8552,0.82,0.8721,0.8152,5337.15,4439.07
1301270400,0.82,0.799,0.85,0.76,12565.15,10141.7
1301356800,0.799,0.7925,0.7997,0.7648,4215.02,3312.3
1301443200,0.7925,0.7897,0.795,0.766,3218.22,2532.13
1301529600,0.7897,0.7846,0.801,0.768,6875.08,5429.16
1301616000,0.7846,0.7741,0.797,0.7741,3186.77,2483.69
1301702400,0.7741,0.782,0.7998,0.7741,2493.59,1965.23
1301788800,0.782,0.779,0.7949,0.777,3931.39,3074.76
1301875200,0.779,0.68,0.785,0.5619,31155.46,21652.69
1301961600,0.68,0.71,0.7478,0.58,9730.3,6522.71
1302048000,0.71,0.74,0.75,0.6902,8703.95,6264.04
1302134400,0.74,0.7538,0.7849,0.7205,10832.99,8178.14
1302220800,0.7538,0.75,0.799,0.7309,18207.3,13854.66
1302307200,0.75,0.73,0.7676,0.7205,12119.4,8940.96
1302393600,0.73,0.7369,0.7589,0.71,5348.98,3946.44
